KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000572001,T000572002,T000572003,T000572004
,,,,,,,人口総数,男,女,世帯総数
01233,1,伊達市,,,,,36278,16812,19466,15287
012330010,2,伊達市,鹿島町,,,,361,158,203,184
012330020,2,伊達市,大町,,,,267,103,164,134
012330030,2,伊達市,末永町,,,,4353,1957,2396,2011
012330040,2,伊達市,梅本町,,,,1248,587,661,607
012330050,2,伊達市,元町,,,,799,373,426,396
012330060,2,伊達市,網代町,,,,414,184,230,211
012330070,2,伊達市,旭町,,,,1218,563,655,572
012330080,2,伊達市,東浜町,,,,149,65,84,73
012330090,2,伊達市,錦町,,,,433,198,235,199
012330100,2,伊達市,館山下町,,,,829,391,438,343
012330110,2,伊達市,西浜町,,,,1084,509,575,468
012330120,2,伊達市,山下町,,,,2796,1300,1496,1331
012330130,2,伊達市,館山町,,,,481,241,240,202
012330140,2,伊達市,竹原町,,,,2096,975,1121,845
012330150,2,伊達市,有珠町,,,,1014,455,559,434
012330160,2,伊達市,東有珠町,,,,199,80,119,86
012330170,2,伊達市,向有珠町,,,,554,246,308,195
012330180,2,伊達市,南有珠町,,,,142,49,93,83
012330190,2,伊達市,若生町,,,,45,22,23,18
012330200,2,伊達市,長和町,,,,1765,827,938,783
012330210,2,伊達市,上長和町,,,,388,186,202,138
012330220,2,伊達市,上館山町,,,,32,16,16,12
012330230,2,伊達市,松ヶ枝町,,,,997,460,537,196
012330240,2,伊達市,舟岡町,,,,6770,3111,3659,2734
012330250,2,伊達市,弄月町,,,,1906,922,984,768
012330260,2,伊達市,萩原町,,,,187,81,106,70
012330270,2,伊達市,乾町,,,,123,38,85,36
012330280,2,伊達市,幌美内町,,,,236,172,64,13
012330290,2,伊達市,清住町,,,,151,74,77,52
012330300,2,伊達市,北稀府町,,,,153,70,83,68
012330310,2,伊達市,中稀府町,,,,192,90,102,71
012330320,2,伊達市,南稀府町,,,,1518,715,803,655
012330330,2,伊達市,北黄金町,,,,730,360,370,304
012330340,2,伊達市,南黄金町,,,,628,300,328,275
012330350,2,伊達市,北有珠町,,,,11,5,6,7
012330360,2,伊達市,西関内町,,,,218,109,109,77
012330370,2,伊達市,志門気町,,,,39,15,24,14
012330380,2,伊達市,喜門別町,,,,10,4,6,3
012330390,2,伊達市,東関内町,,,,209,103,106,86
012330400,2,伊達市,大平町,,,,-,-,-,-
012330410,2,伊達市,愛地町,,,,26,13,13,8
012330420,2,伊達市,宮城町,,,,2,1,1,1
012330430,2,伊達市,清原町,,,,7,4,3,2
012330440,2,伊達市,清陵町,,,,-,-,-,-
012330450,2,伊達市,豊里町,,,,-,-,-,-
012330460,2,伊達市,三階滝町,,,,9,4,5,6
012330470,2,伊達市,本郷町,,,,103,40,63,24
012330480,2,伊達市,本町,,,,274,125,149,146
012330490,2,伊達市,上野町,,,,28,14,14,13
012330500,2,伊達市,大成町,,,,40,29,11,6
012330510,2,伊達市,優徳町,,,,599,249,350,153
012330520,2,伊達市,円山町,,,,86,43,43,21
012330530,2,伊達市,北湯沢温泉町,,,,344,168,176,146
012330540,2,伊達市,昭園町,,,,15,8,7,7
