KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000572001,T000572002,T000572003,T000572004
,,,,,,,lŒû‘”,’j,—,¢‘Ñ‘”
01221,1,–¼ŠñŽs,,,,,30591,14669,15922,13348
012210010,2,–¼ŠñŽs,‚P‚P‹æ,,,,207,100,107,132
01221001001,3,–¼ŠñŽs,‚P‚P‹æ‚P’š–Ú,,,,51,25,26,36
01221001002,3,–¼ŠñŽs,‚P‚P‹æ‚Q’š–Ú,,,,156,75,81,96
012210020,2,–¼ŠñŽs,‚P‚O‹æ,,,,332,145,187,161
01221002003,3,–¼ŠñŽs,‚P‚O‹æ‚R’š–Ú,,,,189,91,98,92
01221002004,3,–¼ŠñŽs,‚P‚O‹æ‚S’š–Ú,,,,143,54,89,69
012210030,2,–¼ŠñŽs,‚X‹æ,,,,263,121,142,128
01221003005,3,–¼ŠñŽs,‚X‹æ‚T’š–Ú,,,,145,73,72,74
01221003006,3,–¼ŠñŽs,‚X‹æ‚U’š–Ú,,,,118,48,70,54
012210040,2,–¼ŠñŽs,‚W‹æ,,,,305,160,145,163
01221004007,3,–¼ŠñŽs,‚W‹æ‚V’š–Ú,,,,30,18,12,18
01221004008,3,–¼ŠñŽs,‚W‹æ‚W’š–Ú,,,,154,86,68,79
01221004009,3,–¼ŠñŽs,‚W‹æ‚X’š–Ú,,,,121,56,65,66
012210050,2,–¼ŠñŽs,‚R‹æ,,,,283,131,152,157
01221005001,3,–¼ŠñŽs,‚R‹æ‚P’š–Ú,,,,112,55,57,59
01221005002,3,–¼ŠñŽs,‚R‹æ‚Q’š–Ú,,,,171,76,95,98
012210060,2,–¼ŠñŽs,‚S‹æ,,,,282,142,140,144
01221006003,3,–¼ŠñŽs,‚S‹æ‚R’š–Ú,,,,135,68,67,64
01221006004,3,–¼ŠñŽs,‚S‹æ‚S’š–Ú,,,,147,74,73,80
012210070,2,–¼ŠñŽs,‚U‹æ,,,,276,116,160,122
01221007005,3,–¼ŠñŽs,‚U‹æ‚T’š–Ú,,,,116,54,62,72
01221007006,3,–¼ŠñŽs,‚U‹æ‚U’š–Ú,,,,160,62,98,50
012210080,2,–¼ŠñŽs,‚V‹æ,,,,231,108,123,114
01221008007,3,–¼ŠñŽs,‚V‹æ‚V’š–Ú,,,,17,9,8,6
01221008008,3,–¼ŠñŽs,‚V‹æ‚W’š–Ú,,,,86,40,46,40
01221008009,3,–¼ŠñŽs,‚V‹æ‚X’š–Ú,,,,36,13,23,15
01221008010,3,–¼ŠñŽs,‚V‹æ‚P‚O’š–Ú,,,,92,46,46,53
012210090,2,–¼ŠñŽs,Ž›’¬‹æ,,,,545,262,283,258
01221009001,3,–¼ŠñŽs,Ž›’¬‹æ‚P’š–Ú,,,,318,157,161,161
