"巨人","高橋由伸",40
"阪神","金本知憲",47
"広島","緒方孝市",47
"中日","谷繁元信",45
"ヤクルト","真中満",44
"DeNA","ラミレス",41
"ソフトバンク","工藤公康",52
"ロッテ","伊藤勤",53
"日本ハム","栗山英樹",54
"オリックス","福良淳一",55
"楽天","柴田昌孝",62
"西武","田辺徳雄",49
